"","suppress","lost"
"beta10","0.68 [0.42 to 1.09]","0.53 [0.29 to 0.98]"
"age.category13-25:1","0.82 [0.56 to 1.20]","1.07 [0.69 to 1.66]"
"age.category25-35:1","0.90 [0.73 to 1.10]","0.99 [0.78 to 1.26]"
"age.category45-55:1","1.17 [0.98 to 1.41]","0.90 [0.72 to 1.12]"
"age.category55+:1","1.50 [1.20 to 1.88]","1.07 [0.81 to 1.42]"
"sex.riskmsm_idu:1","1.07 [0.79 to 1.46]","1.32 [0.93 to 1.88]"
"sex.riskheterosexual_male:1","0.86 [0.69 to 1.08]","0.89 [0.68 to 1.16]"
"sex.riskheterosexual_female:1","0.81 [0.67 to 0.98]","0.76 [0.60 to 0.96]"
"sex.riskidu_male:1","0.94 [0.67 to 1.31]","1.19 [0.81 to 1.75]"
"sex.riskidu_female:1","0.82 [0.59 to 1.15]","0.87 [0.58 to 1.29]"
"sex.riskother:1","0.90 [0.59 to 1.35]","1.17 [0.75 to 1.81]"
"raceblack:1","0.78 [0.65 to 0.93]","0.78 [0.63 to 0.97]"
"racehispanic:1","1.04 [0.79 to 1.36]","0.75 [0.55 to 1.02]"
"relative.year:1","1.14 [1.07 to 1.22]","1.14 [1.05 to 1.24]"
"siteFENWAY:1","1.41 [0.94 to 2.11]","1.05 [0.64 to 1.72]"
"siteJH:1","1.10 [0.80 to 1.50]","1.30 [0.88 to 1.90]"
"siteUAB:1","1.03 [0.77 to 1.38]","0.74 [0.51 to 1.06]"
"siteUCSD:1","0.81 [0.59 to 1.12]","1.38 [0.94 to 2.03]"
"siteUNC:1","0.94 [0.66 to 1.33]","1.55 [1.03 to 2.33]"
"siteUW:1","1.11 [0.80 to 1.54]","0.94 [0.62 to 1.42]"
"art.naiveTRUE:1","1.12 [0.97 to 1.28]","1.07 [0.91 to 1.27]"
"years.in.care:1","1.01 [0.99 to 1.03]","0.97 [0.95 to 0.99]"
"aids.defining.illnessTRUE:1","0.57 [0.42 to 0.77]","0.41 [0.27 to 0.62]"
