"age","race","sex","risk","value","simulation","data_type","location_code","location_name"
"13-24 years","black","male","msm",157.541055878034,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","black","male","msm",521.931475165016,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","black","male","msm",323.82492288776,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","black","male","msm",195.862592099308,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","black","male","msm",161.173838248043,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","hispanic","male","msm",17.4980081374306,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","hispanic","male","msm",57.0369010025846,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","hispanic","male","msm",33.4693167195241,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","hispanic","male","msm",17.8851015881049,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","hispanic","male","msm",11.4404458219405,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","other","male","msm",70.2610508460348,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","other","male","msm",225.645444094743,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","other","male","msm",143.16454747438,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","other","male","msm",93.4683298213063,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","other","male","msm",84.6719489321945,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","black","male","idu",25.1040774080669,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","black","male","idu",156.451590012946,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","black","male","idu",101.683263414795,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","black","male","idu",55.9354657471529,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","black","male","idu",38.7764005954989,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","hispanic","male","idu",0.0909334912722456,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","hispanic","male","idu",0.73439247134266,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","hispanic","male","idu",0.614546088061536,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","hispanic","male","idu",0.425083121633173,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","hispanic","male","idu",0.346158756580144,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","other","male","idu",9.18862137081809,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","other","male","idu",50.2571204979849,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","other","male","idu",30.3722559945244,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","other","male","idu",18.7108458962861,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","other","male","idu",20.883462092574,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","black","female","idu",11.1938958022755,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","black","female","idu",74.8816380553151,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","black","female","idu",50.2330537994073,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","black","female","idu",28.6374612488681,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","black","female","idu",22.8689743381948,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","hispanic","female","idu",0.0427397319678143,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","hispanic","female","idu",0.298011350324926,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","hispanic","female","idu",0.255197334393038,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","hispanic","female","idu",0.176479641629048,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","hispanic","female","idu",0.146147574357555,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","other","female","idu",3.93401827024394,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","other","female","idu",21.4010031640111,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","other","female","idu",12.9359295999597,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","other","female","idu",8.13678767448024,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","other","female","idu",9.66935266436356,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","black","male","msm_idu",7.31491301257025,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","black","male","msm_idu",50.6530057588008,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","black","male","msm_idu",29.4361141307237,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","black","male","msm_idu",14.1058327678829,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","black","male","msm_idu",7.84816130631271,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","hispanic","male","msm_idu",0.258105293977793,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","hispanic","male","msm_idu",3.68903299737551,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","hispanic","male","msm_idu",1.83195042263016,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","hispanic","male","msm_idu",0.884523567556387,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","hispanic","male","msm_idu",0.436617528851673,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","other","male","msm_idu",5.42178203634851,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","other","male","msm_idu",59.5510297262927,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","other","male","msm_idu",27.4314887895985,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","other","male","msm_idu",13.5571823337542,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","other","male","msm_idu",9.27331400741196,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","black","male","heterosexual",25.4519397737641,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","black","male","heterosexual",63.1518619143161,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","black","male","heterosexual",71.1594995117173,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","black","male","heterosexual",83.4953897347689,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","black","male","heterosexual",109.280198463709,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","hispanic","male","heterosexual",2.52504143743669,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","hispanic","male","heterosexual",6.19133448115529,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","hispanic","male","heterosexual",6.74796113982782,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","hispanic","male","heterosexual",6.10392365595475,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","hispanic","male","heterosexual",6.13611339326016,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","other","male","heterosexual",4.14993437175614,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","other","male","heterosexual",9.67058117302031,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"35-44 years","other","male","heterosexual",11.3858815924108,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"45-54 years","other","male","heterosexual",12.3829975154411,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"55+ years","other","male","heterosexual",16.1166245972701,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"13-24 years","black","female","heterosexual",47.1742686141909,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
"25-34 years","black","female","heterosexual",114.897112074532,1,"New_Diagnoses","12580","Baltimore-Columbia-Towson, MD"
