outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,12 to 17,2016-18,"West",0.1427401,0.1351766954,0.1506529724
Major Depressive Episode in the Past Year,18 or Older,2016-18,"West",0.0721099148,0.0685768537,0.0758101831
Major Depressive Episode in the Past Year,18 to 25,2016-18,"West",0.1351303786,0.1275729995,0.1430620401
Major Depressive Episode in the Past Year,26 or Older,2016-18,"West",0.0618026832,0.0579579306,0.0658846474
Major Depressive Episode in the Past Year,12 to 17,2016-18,"South",0.1297465788,0.1241521523,0.1355540803
Major Depressive Episode in the Past Year,18 or Older,2016-18,"South",0.0669211152,0.0641828883,0.0697674536
Major Depressive Episode in the Past Year,18 to 25,2016-18,"South",0.1151596672,0.1098231924,0.1207202837
Major Depressive Episode in the Past Year,26 or Older,2016-18,"South",0.0592575506,0.0562614838,0.0624026157
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Midwest",0.1433030724,0.1366945088,0.150175553
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Midwest",0.074653957,0.0715333775,0.0778992474
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Midwest",0.1340626616,0.1277151743,0.1406747444
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Midwest",0.064906202,0.0614488602,0.0685438604
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Northeast",0.1240895983,0.1170576529,0.1314810658
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Northeast",0.0679788961,0.0643312666,0.0718174742
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Northeast",0.1238616665,0.116439359,0.1316865861
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Northeast",0.0592025755,0.0551845352,0.0634935129
Major Depressive Episode in the Past Year,12 to 17,2016-18,"United States",0.1348256783,0.131000567,0.1387446473
Major Depressive Episode in the Past Year,18 or Older,2016-18,"United States",0.0699562292,0.0682320894,0.0717205823
Major Depressive Episode in the Past Year,18 to 25,2016-18,"United States",0.1254978543,0.1217230614,0.1293724651
Major Depressive Episode in the Past Year,26 or Older,2016-18,"United States",0.0610280757,0.0591518319,0.0629598499
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alabama",0.1265729447,0.108564589,0.1470756249
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alabama",0.0786897792,0.067988367,0.0909112981
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alabama",0.1113530425,0.0936041326,0.1319774043
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alabama",0.0734776312,0.0614751345,0.0876047744
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alabama Region 1",0.1426233179,0.115153277,0.1753477938
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alabama Region 1",0.082625375,0.0667361663,0.1018846466
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alabama Region 1",0.1286499126,0.0988856367,0.165725488
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alabama Region 1",0.0761032614,0.0592280029,0.0972893959
