outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,12 to 17,2012-14,"West",0.1124519866,0.1059265488,0.1193257631
Major Depressive Episode in the Past Year,18 or Older,2012-14,"West",0.0680907303,0.0639743763,0.072451445
Major Depressive Episode in the Past Year,18 to 25,2012-14,"West",0.0957821516,0.0895355554,0.1024155296
Major Depressive Episode in the Past Year,26 or Older,2012-14,"West",0.0631729754,0.0586107652,0.0680646281
Major Depressive Episode in the Past Year,12 to 17,2012-14,"South",0.1021155655,0.0975525409,0.1068667509
Major Depressive Episode in the Past Year,18 or Older,2012-14,"South",0.0662116937,0.0632068265,0.069348838
Major Depressive Episode in the Past Year,18 to 25,2012-14,"South",0.0825006272,0.0783504863,0.0868498814
Major Depressive Episode in the Past Year,26 or Older,2012-14,"South",0.0634381824,0.0600961507,0.0669528299
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Midwest",0.100964245,0.0962443228,0.1058885169
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Midwest",0.0682793201,0.065300215,0.0713839573
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Midwest",0.0934831627,0.0886899275,0.0985074458
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Midwest",0.0639891583,0.0606629385,0.0674846559
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Northeast",0.0977319045,0.092087154,0.1036831522
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Northeast",0.0659890409,0.0622391885,0.0699479666
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Northeast",0.0918696649,0.086195916,0.0978768799
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Northeast",0.0616930287,0.0574956049,0.0661753671
Major Depressive Episode in the Past Year,12 to 17,2012-14,"United States",0.1036006823,0.1003093118,0.1069872074
Major Depressive Episode in the Past Year,18 or Older,2012-14,"United States",0.0670515167,0.0650732357,0.0690854951
Major Depressive Episode in the Past Year,18 to 25,2012-14,"United States",0.0896917595,0.0866489919,0.0928305171
Major Depressive Episode in the Past Year,26 or Older,2012-14,"United States",0.0631760151,0.0609216125,0.0655080224
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alabama",0.1052407186,0.0896763842,0.1231409985
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alabama",0.0660723637,0.0560780304,0.0777012814
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alabama",0.0849351203,0.0706646793,0.1017718249
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alabama",0.0628428772,0.051818375,0.0760248121
